symbol,timeframe,horizon,event_spec,event,slice_name,slice,n,mean,std,sharpe,sharpe_ann,q05,q50,q95,hit_rate
SPY,1d,1,close_above_sma:20,close>sma20,2020,unconditional,15,0.0003943522163540436,0.006683521907088304,0.059003654336167846,0.936653974905108,-0.009838550169387937,0.0008985949243001112,0.010069382966083257,0.5333333333333333
SPY,1d,1,close_above_sma:20,close>sma20,2020,conditional,0,,,,,,,,
SPY,1d,1,close_above_sma:20,close>sma20,2021,unconditional,252,0.0010610142091452104,0.008209389810391605,0.12924397959543327,2.0516845707709366,-0.013057426836882047,0.0014195065829383235,0.014322497494739217,0.5833333333333334
SPY,1d,1,close_above_sma:20,close>sma20,2021,conditional,188,0.00045195389972223725,0.006630448292382358,0.06816340008887208,1.0820604309105213,-0.009060155182562151,0.0009058652393630906,0.01053943287278314,0.574468085106383
SPY,1d,1,close_above_sma:20,close>sma20,2022,unconditional,251,-0.0007862970489240624,0.015283762581342892,-0.05144656263398821,-0.8166888632318453,-0.026267693724207508,-0.0021546433928814057,0.025004461079648155,0.4262948207171315
SPY,1d,1,close_above_sma:20,close>sma20,2022,conditional,103,-0.00174221622269604,0.013654895680980769,-0.12758912725511973,-2.0254146042769197,-0.02329061660001147,-0.0016901272424366676,0.0208079534321799,0.4077669902912621
SPY,1d,1,close_above_sma:20,close>sma20,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,close_above_sma:20,close>sma20,2023,conditional,170,0.001060350930455371,0.007335834769099227,0.14454400403371848,2.294564929072417,-0.011958399227753057,0.0010348004831594038,0.013561780965862049,0.5823529411764706
SPY,1d,1,close_above_sma:20,close>sma20,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,close_above_sma:20,close>sma20,2024,conditional,200,0.0004399031946620191,0.006958243319033992,0.06322043862115051,1.0035933502079246,-0.010610474144564534,0.0008606184290520513,0.010336848958689412,0.585
SPY,1d,1,close_above_sma:20,close>sma20,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
SPY,1d,1,close_above_sma:20,close>sma20,2025,conditional,179,0.00031474462908659065,0.007875611722872784,0.03996446754383434,0.634416254400588,-0.011247466090468682,0.0007605191369759456,0.009566802982527985,0.5586592178770949
SPY,1d,1,close_above_sma:20,close>sma20,2026,unconditional,5,0.003179153796776091,0.004564236268374866,0.6965357641111017,11.057162466601943,-0.0025990449313175513,0.005947187808991838,0.00665078123862739,0.6
SPY,1d,1,close_above_sma:20,close>sma20,2026,conditional,4,0.00230891011633913,0.0047673378171115156,0.4843185452584681,7.688318556542924,-0.0027551407979807653,0.0029228383721428552,0.00651346147253381,0.5
SPY,1d,1,close_above_sma:50,close>sma50,2020,unconditional,15,0.0003943522163540436,0.006683521907088304,0.059003654336167846,0.936653974905108,-0.009838550169387937,0.0008985949243001112,0.010069382966083257,0.5333333333333333
SPY,1d,1,close_above_sma:50,close>sma50,2020,conditional,0,,,,,,,,
SPY,1d,1,close_above_sma:50,close>sma50,2021,unconditional,252,0.0010610142091452104,0.008209389810391605,0.12924397959543327,2.0516845707709366,-0.013057426836882047,0.0014195065829383235,0.014322497494739217,0.5833333333333334
SPY,1d,1,close_above_sma:50,close>sma50,2021,conditional,196,0.0007066319914131648,0.007649004229676608,0.09238221998512877,1.4665222778682714,-0.012506949961358288,0.001302589640111984,0.012076047129823964,0.5714285714285714
SPY,1d,1,close_above_sma:50,close>sma50,2022,unconditional,251,-0.0007862970489240624,0.015283762581342892,-0.05144656263398821,-0.8166888632318453,-0.026267693724207508,-0.0021546433928814057,0.025004461079648155,0.4262948207171315
SPY,1d,1,close_above_sma:50,close>sma50,2022,conditional,86,-0.0022555514878395896,0.012378855958153807,-0.18221001160885827,-2.8924942626193864,-0.0207673805270924,-0.0014255168584544342,0.014950460166034019,0.38372093023255816
SPY,1d,1,close_above_sma:50,close>sma50,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,close_above_sma:50,close>sma50,2023,conditional,176,0.0007663631939907461,0.007725429627343691,0.09920007442411358,1.5747523617918209,-0.01285232148298271,0.0006725059782084486,0.013866254758224561,0.5625
SPY,1d,1,close_above_sma:50,close>sma50,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,close_above_sma:50,close>sma50,2024,conditional,216,0.0005578702340874654,0.0073307981062699715,0.07609952231672068,1.208042465645117,-0.01259826177443707,0.0009293722713006325,0.010658297856486476,0.5879629629629629
SPY,1d,1,close_above_sma:50,close>sma50,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
SPY,1d,1,close_above_sma:50,close>sma50,2025,conditional,187,0.0009250143959640008,0.00720071066722288,0.12846154202176185,2.0392637593527327,-0.011001942635192163,0.0011519186176975893,0.0106194585700629,0.5668449197860963
