symbol,timeframe,horizon,event_spec,event,n_years_valid,avg_n,min_n,max_n,frac_years_mean_pos,frac_years_sharpe_ann_pos,mean_median,mean_p10,mean_p90,mean_worst,sharpe_ann_median,sharpe_ann_p10,sharpe_ann_p90,sharpe_ann_worst,hit_rate_median
SPY,1d,1,range_expansion_atr:1.25,tr>=1.25*atr14,5,61.4,54,70,0.8,0.8,0.0008447465015787,-0.00213087844158146,0.00153295962079364,-0.0040172026768163,1.494200507873374,-2.3876280036919786,2.588075412219488,-4.356580213856642,0.5901639344262295
SPY,1d,1,range_contraction_atr:0.75,tr<=0.75*atr14,5,81.4,73,95,0.8,0.8,0.0004801139813075,-0.0003824218944590999,0.0005792751103739599,-0.0008392298138131,0.8643961856828983,-0.2874208734575705,1.3876974039066217,-0.8466258462934004,0.5733333333333334
SPY,1d,1,range_contraction_atr:0.60,tr<=0.6*atr14,4,45.75,36,58,0.75,0.75,0.00056721928828955,-0.00033916639892684995,0.0008312166351811701,-0.0006909607462437,1.2814398818856725,-0.5488825758545971,2.014348048576619,-1.1973998463587952,0.5879065040650406
SPY,1d,1,range_expansion_atr:1.50,tr>=1.5*atr14,4,36.0,31,44,0.75,0.75,0.0005836829848968,-0.00259937341076622,0.0017425337251400401,-0.0038355270878751,0.5256061797762761,-3.34818073107355,2.1578956636919924,-4.984676277116554,0.55
SPY,1d,1,gap_down:0.01,gap_down>=0.01,1,33.0,33,33,0.0,0.0,-0.0040324264315297,-0.0040324264315297,-0.0040324264315297,-0.0040324264315297,-5.164074311428212,-5.164074311428212,-5.164074311428212,-5.164074311428212,0.3636363636363636
