symbol,timeframe,horizon,event_spec,event,slice_name,slice,n,mean,std,sharpe,sharpe_ann,q05,q50,q95,hit_rate
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2020,unconditional,15,0.0003943522163540436,0.006683521907088304,0.059003654336167846,0.936653974905108,-0.009838550169387937,0.0008985949243001112,0.010069382966083257,0.5333333333333333
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2020,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2021,unconditional,252,0.0010610142091452104,0.008209389810391605,0.12924397959543327,2.0516845707709366,-0.013057426836882047,0.0014195065829383235,0.014322497494739217,0.5833333333333334
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2021,conditional,5,-0.0006143827663129154,0.013397290644068935,-0.045858732383693306,-0.7279848079675006,-0.017126733411393546,0.002647988383018829,0.013497983331449335,0.6
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2022,unconditional,251,-0.0007862970489240624,0.015283762581342892,-0.05144656263398821,-0.8166888632318453,-0.026267693724207508,-0.0021546433928814057,0.025004461079648155,0.4262948207171315
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2022,conditional,23,-0.0018125772663455724,0.017196744218067574,-0.1054023507799347,-1.6732104465918127,-0.03576971448331073,-0.0023282271079716477,0.024319459835174754,0.391304347826087
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2023,conditional,3,0.000572672251344275,0.006200740985729094,0.0923554543984777,1.4660973873524303,-0.005417168432823927,0.0021170859982617696,0.00548142331267023,0.6666666666666666
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2024,conditional,8,0.003696921665680364,0.010953408212475877,0.3375133651523723,5.357858570122265,-0.010878064563901868,0.003325858539934612,0.01864060855514226,0.75
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2025,conditional,13,0.011121616494456883,0.029903047181155076,0.371922514353846,5.904086879796763,-0.008803388368399378,0.0024038461538462563,0.0546370721667172,0.5384615384615384
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2026,unconditional,5,0.003179153796776091,0.004564236268374866,0.6965357641111017,11.057162466601943,-0.0025990449313175513,0.005947187808991838,0.00665078123862739,0.6
SPY,1d,1,gap_up:0.01,gap_up>=0.01,2026,conditional,0,,,,,,,,
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2020,unconditional,15,0.0003943522163540436,0.006683521907088304,0.059003654336167846,0.936653974905108,-0.009838550169387937,0.0008985949243001112,0.010069382966083257,0.5333333333333333
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2020,conditional,1,-0.0016854238025335588,,,,-0.0016854238025335588,-0.0016854238025335588,-0.0016854238025335588,0.0
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2021,unconditional,252,0.0010610142091452104,0.008209389810391605,0.12924397959543327,2.0516845707709366,-0.013057426836882047,0.0014195065829383235,0.014322497494739217,0.5833333333333334
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2021,conditional,9,0.005253499740242017,0.013335932166254226,0.3939356975386904,6.253535329428805,-0.01700053319315551,0.010757922406659182,0.016387582754365623,0.6666666666666666
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2022,unconditional,251,-0.0007862970489240624,0.015283762581342892,-0.05144656263398821,-0.8166888632318453,-0.026267693724207508,-0.0021546433928814057,0.025004461079648155,0.4262948207171315
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2022,conditional,33,-0.0040324264315297195,0.012395790851863974,-0.325306104283242,-5.164074311428212,-0.020946712879249096,-0.0025088038299537763,0.013987955624723224,0.36363636363636365
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2023,unconditional,250,0.0008988720893185764,0.008312054765227887,0.10814078043360106,1.7166816696704883,-0.013887535582583061,0.0007125631366277085,0.014501701100326102,0.56
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2023,conditional,7,0.005497668821984896,0.00955145485232882,0.5755844431013003,9.137119769781885,-0.005027404890466203,0.003405822695393468,0.017240647548188215,0.5714285714285714
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2024,unconditional,252,0.0008754778219092463,0.007920820542485565,0.11052867783247619,1.7545883657130579,-0.01324259814377206,0.0010327906950720056,0.011978125766872969,0.5873015873015873
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2024,conditional,7,-0.000731247431295791,0.014323820868857634,-0.05105114326622476,-0.8104117753677624,-0.022692018889939602,0.007546876215669407,0.009397569409451,0.5714285714285714
SPY,1d,1,gap_down:0.01,gap_down>=0.01,2025,unconditional,250,0.0006973349635843014,0.012270996495554154,0.05682790014950697,0.9021149479536343,-0.016502342438835194,0.001401395212205947,0.015351069794974082,0.572
