symbol,timeframe,horizon,event_spec,event,n_years_valid,avg_n,min_n,max_n,frac_years_mean_pos,frac_years_sharpe_ann_pos,mean_median,mean_p10,mean_p90,mean_worst,sharpe_ann_median,sharpe_ann_p10,sharpe_ann_p90,sharpe_ann_worst,hit_rate_median
SPY,1d,1,close_above_sma:50&close_above_sma:200,(close>sma50 AND close>sma200),4,154.75,52,216,1.0,1.0,0.0006807275594774001,0.00058347951181953,0.00072665270452828,0.0005578702340874,1.3553145472864319,1.2432161355479117,1.5927472959553346,1.208042465645117,0.5773148148148148
SPY,1d,1,close_above_sma:50,close>sma50,5,172.2,86,216,0.8,0.8,0.0007066319914131,-0.00113018279906874,0.00086155391517468,-0.0022555514878395,1.4665222778682714,-1.252279571313585,1.853459200328368,-2.8924942626193864,0.5668449197860963
SPY,1d,1,!close_above_sma:20,(NOT close>sma20),5,83.0,52,148,0.8,0.8,0.0016618936942193,0.00014967443558988,0.0027303832607583,-0.0001210289752854,1.3594759493990285,0.2780277459531383,3.850367215294688,-0.1176233115694757,0.5961538461538461
SPY,1d,1,close_below_sma:20,close<sma20,5,82.2,52,148,0.8,0.8,0.0016618936942193,0.00014967443558988,0.00252370687984106,-0.0001210289752854,1.3594759493990285,0.2780277459531383,3.588044693694085,-0.1176233115694757,0.5833333333333334
SPY,1d,1,close_above_sma:20&close_above_sma:50,(close>sma20 AND close>sma50),5,149.2,70,196,0.8,0.8,0.0004928578400186,-0.0012713370684525,0.0008137718091602001,-0.0023678750919803,1.1521689905688468,-1.3912009955524693,1.8394688121748886,-2.9009347967213914,0.577639751552795
SPY,1d,1,close_above_sma:200,close>sma200,5,158.0,38,252,0.8,0.8,0.0005436582235145,-0.00252426025403568,0.0010477977079608,-0.0044864699512826,1.1244780884438972,-3.606041657198702,1.919810834223324,-6.568764239066844,0.5721153846153846
SPY,1d,1,close_above_sma:20,close>sma20,5,168.0,103,200,0.8,0.8,0.000439903194662,-0.000919431881983,0.0008169921181620601,-0.001742216222696,1.0035933502079246,-0.9614822608059168,1.8095631298076589,-2.02541460427692,0.574468085106383
SPY,1d,1,close_below_sma:50,close<sma50,4,84.5,36,165,0.75,0.75,0.0006177764829212237,-7.895302871568645e-06,0.00231099485846063,-2.0503826216575624e-05,1.0102622527037632,-0.008900792343899459,3.4775029196746985,-0.0196296605799084,0.5686936936936937
