symbol,timeframe,horizon,event_spec,event,slice_name,regime_spec,regime,slice,n,mean,std,sharpe,sharpe_ann,q05,q50,q95,hit_rate
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2020,trend_up_200,trend_up_200,unconditional,15,-0.0010672798533180186,0.0067061186190694915,-0.1591501603152539,-2.5264304718613366,-0.012769200348776398,0.0008065817067268721,0.006548101678411731,0.5333333333333333
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2020,trend_up_200,trend_up_200,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2021,trend_up_200,trend_up_200,unconditional,252,0.0004612710628844634,0.006301948101280109,0.07319499549524469,1.1619345317694627,-0.011033427420350527,0.000726023976400092,0.009691826238288015,0.5476190476190477
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2021,trend_up_200,trend_up_200,conditional,3,0.0008694474121366813,0.014389004665763984,0.060424430482351084,0.9592080970140696,-0.01237050255057508,0.0017495199487944646,0.013493346599187992,0.6666666666666666
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2022,trend_up_200,trend_up_200,unconditional,251,-0.00019737418615024422,0.012675516216389423,-0.015571293727275557,-0.24718662476346687,-0.02215492150399051,7.190106413568209e-05,0.018399175032558723,0.50199203187251
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2022,trend_up_200,trend_up_200,conditional,1,0.006014461739463517,,,,0.006014461739463517,0.006014461739463517,0.006014461739463517,1.0
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2023,trend_up_200,trend_up_200,unconditional,250,0.0007684615058382835,0.007079758438125029,0.10854346409618452,1.7230740746398352,-0.010747862951151559,0.0012653390210345394,0.012078730543349146,0.592
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2023,trend_up_200,trend_up_200,conditional,2,-0.0009602267812484078,6.936362352588722e-06,-138.43376865829987,-2197.567949539855,-0.0009646410552190621,-0.0009602267812484078,-0.0009558125072777534,0.0
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2024,trend_up_200,trend_up_200,unconditional,252,1.619965763861269e-05,0.0061235782189554035,0.0026454561466148995,0.0419953144096215,-0.011049129235061156,0.0004911589541871653,0.009189869169544871,0.5317460317460317
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2024,trend_up_200,trend_up_200,conditional,8,0.0018119552965962793,0.00893371489318758,0.20282215385874794,3.219701876908359,-0.012221540727284597,0.004753440216987648,0.010462876365614356,0.75
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2025,trend_up_200,trend_up_200,unconditional,250,0.00040879183117008245,0.010962276109529141,0.03729078040779627,0.5919727869272924,-0.0125818153044587,0.0004977231496828827,0.010510341012988035,0.524
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2025,trend_up_200,trend_up_200,conditional,6,0.0015320117713886194,0.005947804723384941,0.2575760036917856,4.088892296797918,-0.0059224099466475555,0.00307867153362118,0.007293729494951884,0.6666666666666666
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2026,trend_up_200,trend_up_200,unconditional,5,0.0019141807733709993,0.003757514279116429,0.5094274116294548,8.086909453265227,-0.0028161701922705617,0.0017187636554316654,0.005508278868368154,0.8
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_up_200),2026,trend_up_200,trend_up_200,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_down_200),2020,trend_down_200,trend_down_200,unconditional,15,-0.0010672798533180186,0.0067061186190694915,-0.1591501603152539,-2.5264304718613366,-0.012769200348776398,0.0008065817067268721,0.006548101678411731,0.5333333333333333
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_down_200),2020,trend_down_200,trend_down_200,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_down_200),2021,trend_down_200,trend_down_200,unconditional,252,0.0004612710628844634,0.006301948101280109,0.07319499549524469,1.1619345317694627,-0.011033427420350527,0.000726023976400092,0.009691826238288015,0.5476190476190477
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_down_200),2021,trend_down_200,trend_down_200,conditional,0,,,,,,,,
SPY,1d,1,gap_up:0.01,(gap_up>=0.01 AND trend_down_200),2022,trend_down_200,trend_down_200,unconditional,251,-0.00019737418615024422,0.012675516216389423,-0.015571293727275557,-0.24718662476346687,-0.02215492150399051,7.190106413568209e-05,0.018399175032558723,0.50199203187251
